City,PM_GB_start,PM_GB_end,UE_GB_start,UE_GB_end,CombinedGB_start,CombinedGB_end,PM_GB_YoY,UE_GB_YoY,Combined_GB_YoY,PM_AE_start,PM_AE_end,UE_AE_start,UE_AE_end,Combined_AE_start_UB,Combined_AE_end_UB,PM_AE_YoY,UE_AE_YoY,Combined_AE_YoY_UB,PMshare_start,PMshare_end,PM_GB_loss,UE_GB_gain,PM_AE_loss,UE_AE_gain,Absorption_GB,Absorption_AE,Tier
A1,48571.0,39351.0,816252.0,949083.0,864823.0,988434.0,-0.1898252043400383,0.1627328325076079,0.1429321375587837,483.0,297.0,6335.0,7002.0,6818.0,7299.0,-0.3850931677018633,0.1052880820836622,0.0705485479612789,0.0561629373871878,0.0398114593387115,9220.0,132831.0,186.0,667.0,14.406832971800434,3.586021505376344,Maintain
A2,13896.0,15974.0,321942.0,374052.0,335838.0,390026.0,0.1495394358088658,0.1618614533052537,0.1613516040471894,161.0,134.0,2598.0,2724.0,2759.0,2858.0,-0.1677018633540372,0.0484988452655889,0.0358825661471547,0.0413770925267539,0.0409562439427115,-2078.0,52110.0,27.0,126.0,-25.07699711260828,4.666666666666667,Migrate
B1,10775.0,16753.0,649215.0,704014.0,659990.0,720767.0,0.5548027842227378,0.0844080928505964,0.0920877589054379,139.0,171.0,4997.0,5365.0,5136.0,5536.0,0.2302158273381295,0.0736441865119071,0.0778816199376947,0.0163260049394687,0.0232432949899204,-5978.0,54799.0,-32.0,368.0,-9.16677818668451,-11.5,Migrate
C1,35325.0,34286.0,116471.0,159118.0,151796.0,193404.0,-0.0294125973106864,0.366159816606709,0.2741047194919497,329.0,249.0,1172.0,1477.0,1501.0,1726.0,-0.243161094224924,0.2602389078498293,0.1499000666222518,0.2327136419932014,0.1772765816632541,1039.0,42647.0,80.0,305.0,41.04619826756497,3.8125,Defend
C2,33636.0,30909.0,990746.0,1230222.0,1024382.0,1261131.0,-0.081073849447021,0.2417128103469507,0.2311139789648783,393.0,269.0,8367.0,9349.0,8760.0,9618.0,-0.3155216284987277,0.1173658419983267,0.097945205479452,0.0328354071039905,0.0245089526781912,2727.0,239476.0,124.0,982.0,87.81664833149982,7.919354838709677,Migrate
C3,4257.0,6389.0,350544.0,410075.0,354801.0,416464.0,0.5008221752407799,0.1698246154548359,0.1737960152310732,55.0,62.0,2784.0,3047.0,2839.0,3109.0,0.1272727272727272,0.0944683908045977,0.095103909827404,0.0119982750894163,0.0153410618925045,-2132.0,59531.0,-7.0,263.0,-27.92260787992496,-37.57142857142857,Migrate
D1,23896.0,26494.0,872896.0,1027103.0,896792.0,1053597.0,0.1087211248744559,0.1766613663025148,0.1748510245408076,293.0,241.0,7116.0,7785.0,7409.0,8026.0,-0.1774744027303754,0.0940134907251264,0.0832770954244837,0.0266460896172133,0.0251462371286174,-2598.0,154207.0,52.0,669.0,-59.35604311008468,12.865384615384617,Migrate
D2,34675.0,28442.0,275364.0,337094.0,310039.0,365536.0,-0.1797548666186013,0.2241759997675803,0.1790000612826128,364.0,204.0,2363.0,2610.0,2727.0,2814.0,-0.4395604395604395,0.1045281421921286,0.0319031903190319,0.1118407684194569,0.0778090256500043,6233.0,61730.0,160.0,247.0,9.90373816781646,1.54375,Maintain
E1,2839.0,2832.0,71941.0,77996.0,74780.0,80828.0,-0.0024656569214512,0.0841661917404539,0.0808772399037175,31.0,23.0,660.0,657.0,691.0,680.0,-0.2580645161290322,-0.0045454545454545,-0.0159189580318379,0.0379646964428991,0.035037363289949,7.0,6055.0,8.0,-3.0,865.0,-0.375,Migrate
F1,3037.0,2736.0,21652.0,25594.0,24689.0,28330.0,-0.099110964767863,0.1820617033068538,0.147474583822755,27.0,20.0,199.0,220.0,226.0,240.0,-0.2592592592592592,0.1055276381909547,0.0619469026548672,0.1230102474786342,0.0965760677726791,301.0,3942.0,7.0,21.0,13.096345514950166,3.0,Maintain
G1,2423.0,2580.0,32949.0,40846.0,35372.0,43426.0,0.0647957078002476,0.2396734347021153,0.2276942214180708,31.0,23.0,342.0,380.0,373.0,403.0,-0.2580645161290322,0.1111111111111111,0.0804289544235924,0.0685005088770779,0.0594114125178464,-157.0,7897.0,8.0,38.0,-50.29936305732484,4.75,Maintain
H1,17662.0,20130.0,638314.0,788403.0,655976.0,808533.0,0.1397350243460536,0.2351334922937613,0.2325649109113748,219.0,191.0,5534.0,6312.0,5753.0,6503.0,-0.1278538812785388,0.1405854716299241,0.1303667651660003,0.0269247655402026,0.0248969429819191,-2468.0,150089.0,28.0,778.0,-60.81401944894652,27.785714285714285,Migrate
I1,43117.0,31558.0,101709.0,109689.0,144826.0,141247.0,-0.2680845142287265,0.0784591334100227,-0.0247124135169099,422.0,256.0,1062.0,1053.0,1484.0,1309.0,-0.3933649289099526,-0.0084745762711864,-0.1179245283018868,0.2977158797453496,0.2234242143195961,11559.0,7980.0,166.0,-9.0,0.690371139371918,-0.0542168674698795,Investigate
K1,14935.0,10880.0,67671.0,84979.0,82606.0,95859.0,-0.2715098761298962,0.2557668720722318,0.1604362879209742,154.0,90.0,716.0,856.0,870.0,946.0,-0.4155844155844156,0.1955307262569832,0.0873563218390804,0.1807980049875311,0.1135000365119602,4055.0,17308.0,64.0,140.0,4.268310727496917,2.1875,Maintain
K2,1656.0,1638.0,35670.0,37489.0,37326.0,39127.0,-0.0108695652173913,0.0509952340902719,0.0482505492150243,16.0,13.0,305.0,300.0,321.0,313.0,-0.1875,-0.0163934426229508,-0.0249221183800623,0.0443658575791673,0.0418636747003348,18.0,1819.0,3.0,-5.0,101.05555555555556,-1.6666666666666667,Migrate
K3,1715.0,1673.0,35666.0,37449.0,37381.0,39122.0,-0.0244897959183673,0.0499915886278248,0.0465744629624675,23.0,16.0,368.0,363.0,391.0,379.0,-0.3043478260869565,-0.0135869565217391,-0.0306905370843989,0.0458789224472325,0.0427636623894483,42.0,1783.0,7.0,-5.0,42.45238095238095,-0.7142857142857143,Migrate
L1,98571.0,99091.0,281515.0,336422.0,380086.0,435513.0,0.0052753852552982,0.1950411168143793,0.1458275232447393,777.0,637.0,2290.0,2538.0,3067.0,3175.0,-0.1801801801801801,0.108296943231441,0.0352135637430714,0.2593386759838563,0.227527077262906,-520.0,54907.0,140.0,248.0,-105.59038461538462,1.7714285714285714,Defend
L2,1020779.0,902597.0,1319315.0,1633759.0,2340094.0,2536356.0,-0.1157762845826569,0.2383388349257,0.0838692804648018,5889.0,4462.0,9696.0,10775.0,15585.0,15237.0,-0.2423161827135337,0.11128300330033,-0.0223291626564003,0.436212818801296,0.3558636879050101,118182.0,314444.0,1427.0,1079.0,2.6606759066524512,0.7561317449194114,Investigate
M1,2874.0,3449.0,96801.0,110451.0,99675.0,113900.0,0.2000695894224078,0.1410109399696284,0.1427138199147228,33.0,31.0,827.0,874.0,860.0,905.0,-0.0606060606060606,0.05683192261185,0.0523255813953488,0.0288337095560571,0.0302809482001755,-575.0,13650.0,2.0,47.0,-23.73913043478261,23.5,Migrate
M2,111299.0,100130.0,1594567.0,1886854.0,1705866.0,1986984.0,-0.1003513059416526,0.1833017991718127,0.1647948901027396,912.0,573.0,10199.0,11248.0,11111.0,11821.0,-0.3717105263157895,0.1028532209040102,0.06390063900639,0.0652448668301027,0.0503929573665414,11169.0,292287.0,339.0,1049.0,26.16948697287134,3.094395280235988,Maintain
N1,38831.0,38831.0,220494.0,277796.0,259325.0,316627.0,0.0,0.259880087440021,0.2209659693434879,334.0,272.0,1870.0,2151.0,2204.0,2423.0,-0.18562874251497,0.1502673796791443,0.0993647912885662,0.1497387448182782,0.1226395727464808,0.0,57302.0,62.0,281.0,,4.532258064516129,Maintain
N2,11636.0,19221.0,970456.0,1122082.0,982092.0,1141303.0,0.6518563080096254,0.1562420140634918,0.1621141400194686,171.0,205.0,7841.0,8325.0,8012.0,8530.0,0.1988304093567251,0.0617268205586022,0.064653020469296,0.0118481771565189,0.0168412770316033,-7585.0,151626.0,-34.0,484.0,-19.990243902439023,-14.235294117647058,Migrate
N3,114935.0,121169.0,2154173.0,2649714.0,2269108.0,2770883.0,0.0542393526776003,0.2300376989220457,0.2211331501189013,886.0,817.0,15370.0,16588.0,16256.0,17405.0,-0.0778781038374717,0.0792452830188679,0.0706815944881889,0.0506520623963249,0.0437293815725889,-6234.0,495541.0,69.0,1218.0,-79.49005453962143,17.652173913043477,Maintain
N4,8227.0,11938.0,706379.0,841086.0,714606.0,853024.0,0.4510757262671691,0.1907007428023766,0.1936983456618052,102.0,121.0,5633.0,6198.0,5735.0,6319.0,0.1862745098039215,0.1003017930055032,0.1018308631211857,0.0115126377332404,0.0139949169073789,-3711.0,134707.0,-19.0,565.0,-36.2993802209647,-29.73684210526316,Migrate
O1,37792.0,30260.0,52557.0,62231.0,90349.0,92491.0,-0.1993014394580863,0.1840668226877485,0.0237080653908731,336.0,220.0,565.0,608.0,901.0,828.0,-0.3452380952380952,0.0761061946902654,-0.0810210876803551,0.4182890790158164,0.3271669675968472,7532.0,9674.0,116.0,43.0,1.2843866171003715,0.3706896551724138,Investigate
O2,122727.0,107662.0,249308.0,279940.0,372035.0,387602.0,-0.122752124634351,0.1228680988977489,0.0418428373674519,1042.0,753.0,2277.0,2321.0,3319.0,3074.0,-0.2773512476007677,0.0193236714975845,-0.0738174148840012,0.3298802532019836,0.2777643046217511,15065.0,30632.0,289.0,44.0,2.033322270162629,0.1522491349480969,Investigate
P1,46234.0,33766.0,84331.0,98114.0,130565.0,131880.0,-0.2696716701994203,0.1634393046447925,0.0100716118408455,442.0,271.0,904.0,971.0,1346.0,1242.0,-0.3868778280542986,0.0741150442477876,-0.0772659732540861,0.3541071496955539,0.2560357901122232,12468.0,13783.0,171.0,67.0,1.105470003208213,0.391812865497076,Investigate
P2,6722.0,9773.0,328520.0,359681.0,335242.0,369454.0,0.4538827729842309,0.0948526725922318,0.1020516522392779,93.0,103.0,3191.0,3305.0,3284.0,3408.0,0.1075268817204301,0.0357254779066123,0.0377588306942752,0.0200511869037889,0.0264525488964796,-3051.0,31161.0,-10.0,114.0,-10.2133726647001,-11.4,Migrate
P3,113117.0,88052.0,453352.0,521271.0,566469.0,609323.0,-0.2215847308538946,0.1498151546701018,0.0756510947642324,979.0,600.0,3676.0,3958.0,4655.0,4558.0,-0.3871297242083759,0.0767138193688792,-0.0208378088077336,0.199687891129082,0.1445079210861891,25065.0,67919.0,379.0,282.0,2.709714741671654,0.7440633245382586,Investigate
P4,3321.0,3381.0,43484.0,48721.0,46805.0,52102.0,0.01806684733514,0.1204351025664612,0.1131716696934088,44.0,34.0,464.0,484.0,508.0,518.0,-0.2272727272727272,0.043103448275862,0.0196850393700787,0.0709539579104796,0.0648919427277263,-60.0,5237.0,10.0,20.0,-87.28333333333333,2.0,Maintain
P5,55455.0,43506.0,198202.0,220233.0,253657.0,263739.0,-0.2154720043278333,0.1111542769497785,0.03974658692644,486.0,311.0,1610.0,1693.0,2096.0,2004.0,-0.360082304526749,0.0515527950310559,-0.0438931297709923,0.2186219974217151,0.1649585385551625,11949.0,22031.0,175.0,83.0,1.8437526152816133,0.4742857142857143,Investigate
R1,14935.0,13247.0,115880.0,144792.0,130815.0,158039.0,-0.1130231001004352,0.2494994822229893,0.2081106906700301,177.0,111.0,1103.0,1301.0,1280.0,1412.0,-0.3728813559322034,0.1795104261106074,0.103125,0.1141688644268623,0.0838210821379532,1688.0,28912.0,66.0,198.0,17.127962085308056,3.0,Maintain
R2,2185.0,2351.0,45766.0,51852.0,47951.0,54203.0,0.0759725400457665,0.1329808154525193,0.1303830994139851,32.0,23.0,464.0,490.0,496.0,513.0,-0.28125,0.0560344827586206,0.034274193548387,0.0455673500031281,0.0433739829898714,-166.0,6086.0,9.0,26.0,-36.66265060240964,2.888888888888889,Migrate
R3,2734.0,2826.0,74293.0,79859.0,77027.0,82685.0,0.0336503291880029,0.0749195751955096,0.0734547626157061,37.0,28.0,713.0,701.0,750.0,729.0,-0.2432432432432432,-0.0168302945301542,-0.028,0.035494047541771,0.0341779040938501,-92.0,5566.0,9.0,-12.0,-60.5,-1.3333333333333333,Migrate
S1,22468.0,16104.0,80914.0,86486.0,103382.0,102590.0,-0.2832472850275948,0.0688632375114318,-0.0076609080884486,213.0,130.0,858.0,849.0,1071.0,979.0,-0.3896713615023474,-0.0104895104895104,-0.0859010270774976,0.2173299026909907,0.1569743639730968,6364.0,5572.0,83.0,-9.0,0.8755499685732244,-0.108433734939759,Investigate
S2,10523.0,10828.0,195007.0,227659.0,205530.0,238487.0,0.0289841300009503,0.1674401431743475,0.1603512869167518,114.0,93.0,1779.0,1917.0,1893.0,2010.0,-0.1842105263157894,0.0775716694772344,0.0618066561014263,0.0511993382961124,0.0454028940780839,-305.0,32652.0,21.0,138.0,-107.05573770491804,6.571428571428571,Maintain
S3,81688.0,63636.0,323548.0,360144.0,405236.0,423780.0,-0.2209871706982665,0.1131084104985968,0.0457609886584607,717.0,433.0,2725.0,2805.0,3442.0,3238.0,-0.3960948396094839,0.0293577981651376,-0.0592678675188843,0.2015813007728829,0.150162820331304,18052.0,36596.0,284.0,80.0,2.027254597828496,0.2816901408450704,Investigate
S4,58312.0,47403.0,702988.0,739933.0,761300.0,787336.0,-0.1870798463438057,0.0525542399016768,0.0341993957703927,576.0,353.0,5439.0,5372.0,6015.0,5725.0,-0.3871527777777778,-0.0123184408898694,-0.0482128013300083,0.0765952975174044,0.0602068240243047,10909.0,36945.0,223.0,-67.0,3.3866532221101844,-0.3004484304932735,Investigate
S5,33117.0,23377.0,466243.0,484830.0,499360.0,508207.0,-0.2941087658906302,0.0398654778731262,0.0177166773470041,329.0,167.0,3354.0,3278.0,3683.0,3445.0,-0.4924012158054711,-0.022659511031604,-0.0646212326907412,0.0663188881768663,0.0459989728594844,9740.0,18587.0,162.0,-76.0,1.908316221765913,-0.4691358024691358,Investigate
