Month,App,City ID,Basket,Payment to Merchants,Trips,Total Eater Fees,Gross Bookings,Payments to Couriers,Incentive to Existing Eaters,Incentive to New Eaters,Discount due to other promotions/subscriptions,Revenue gained due to subscription,Net Revenue,New Eaters,Active Eaters,%SMB,%ENT
2022-06-01,UberEats,A1,621053.0,-481974.0,21611.0,139391.0,816252.0,-91373.0,-14504.0,-4116.0,-26954.0,9578.0,140782.0,479.0,6335.0,0.8553000000000001,0.1447
2022-07-01,UberEats,A1,667092.0,-523571.0,22872.0,148795.0,875819.0,-80897.0,-24031.0,-4206.0,-30560.0,10161.0,152843.0,507.0,6574.0,0.862,0.138
2022-08-01,UberEats,A1,658657.0,-515046.0,22779.0,147561.0,865491.0,-81375.0,-29258.0,-3588.0,-31315.0,10170.0,147834.0,462.0,6457.0,0.8643000000000001,0.13570000000000002
2022-09-01,UberEats,A1,642730.0,-502474.0,21903.0,144560.0,845123.0,-77920.0,-26255.0,-3615.0,-31777.0,9550.0,142037.0,434.0,6333.0,0.8595,0.1405
2022-10-01,UberEats,A1,666774.0,-520271.0,22268.0,153080.0,881265.0,-86008.0,-26220.0,-4178.0,-37651.0,10297.0,137224.0,450.0,6422.0,0.8579000000000001,0.1421
2022-11-01,UberEats,A1,612664.0,-479248.0,20645.0,140042.0,808995.0,-82680.0,-19362.0,-4121.0,-33965.0,10298.0,129461.0,396.0,6099.0,0.8571,0.1429
2022-12-01,UberEats,A1,667001.0,-521460.0,21904.0,153496.0,881328.0,-84155.0,-26152.0,-4653.0,-38660.0,10903.0,146156.0,417.0,6397.0,0.8640000000000001,0.136
2023-01-01,UberEats,A1,671522.0,-524118.0,22539.0,154456.0,887255.0,-78399.0,-33424.0,-4943.0,-40690.0,10951.0,147537.0,443.0,6386.0,0.8644,0.1356
2023-02-01,UberEats,A1,647947.0,-507023.0,21607.0,150977.0,856360.0,-74954.0,-34979.0,-3348.0,-41504.0,10411.0,137812.0,399.0,6255.0,0.8489,0.15109999999999998
2023-03-01,UberEats,A1,763424.0,-600978.0,25806.0,154222.0,985247.0,-93278.0,-42157.0,-3874.0,-37924.0,10926.0,134812.0,514.0,6935.0,0.8419,0.15810000000000002
