,,,,,,,,,,,,,,,,,,
,Month,App,City ID,Basket,Payment to Merchants,Trips,Total Eater Fees,Gross Bookings,Payments to Couriers,Incentive to Existing Eaters,Incentive to New Eaters,Discount due to other promotions/subscriptions,Revenue gained due to subscription,Net Revenue,New Eaters,Active Eaters,%SMB,%ENT
,2022-06-01 0:00:00,UberEats,A1,"$621,053","-$481,974","21,611","$139,391","$816,252","-$91,373","-$14,504","-$4,116","-$26,954","$9,578","$140,782",479,"6,335",85.53%,14.47%
,2022-07-01 0:00:00,UberEats,A1,"$667,092","-$523,571","22,872","$148,795","$875,819","-$80,897","-$24,031","-$4,206","-$30,560","$10,161","$152,843",507,"6,574",86.20%,13.80%
,2022-08-01 0:00:00,UberEats,A1,"$658,657","-$515,046","22,779","$147,561","$865,491","-$81,375","-$29,258","-$3,588","-$31,315","$10,170","$147,834",462,"6,457",86.43%,13.57%
,2022-09-01 0:00:00,UberEats,A1,"$642,730","-$502,474","21,903","$144,560","$845,123","-$77,920","-$26,255","-$3,615","-$31,777","$9,550","$142,037",434,"6,333",85.95%,14.05%
,2022-10-01 0:00:00,UberEats,A1,"$666,774","-$520,271","22,268","$153,080","$881,265","-$86,008","-$26,220","-$4,178","-$37,651","$10,297","$137,224",450,"6,422",85.79%,14.21%
,2022-11-01 0:00:00,UberEats,A1,"$612,664","-$479,248","20,645","$140,042","$808,995","-$82,680","-$19,362","-$4,121","-$33,965","$10,298","$129,461",396,"6,099",85.71%,14.29%
,2022-12-01 0:00:00,UberEats,A1,"$667,001","-$521,460","21,904","$153,496","$881,328","-$84,155","-$26,152","-$4,653","-$38,660","$10,903","$146,156",417,"6,397",86.40%,13.60%
,2023-01-01 0:00:00,UberEats,A1,"$671,522","-$524,118","22,539","$154,456","$887,255","-$78,399","-$33,424","-$4,943","-$40,690","$10,951","$147,537",443,"6,386",86.44%,13.56%
,2023-02-01 0:00:00,UberEats,A1,"$647,947","-$507,023","21,607","$150,977","$856,360","-$74,954","-$34,979","-$3,348","-$41,504","$10,411","$137,812",399,"6,255",84.89%,15.11%
,2023-03-01 0:00:00,UberEats,A1,"$763,424","-$600,978","25,806","$154,222","$985,247","-$93,278","-$42,157","-$3,874","-$37,924","$10,926","$134,812",514,"6,935",84.19%,15.81%
